CSPC_NO,BRAND_DSC,PRODUCT_DISPLAY_DSC,Period Display,Price,Adjusted Price,Promotions,Total 9L Cases(Promoted Stores),Total 9L Cases,Total Real Cases,Total $ Sales,Adjusted $ Sales,Lift 9L,Lift 9L %,Total Promo Cost,Total $GP,Base $GP,ROI $,ROI $ Rel,Incr.$/Rate,Rank
10296511,INNISKILLIN ICEWINE,INNISKILLIN ICE NIAGARA RIESLING 00375 ML,201810,68.75,68.75,"Dégustation - régulière-1, Points_0.00",0,4,19,7632,7632,0.05,1.619,61,2111,16,-35,-0.58,1.47,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201601,20.9,19.75,"Vitrine 1 période-1,Étalage régulier-4,Circulaire-Standard à rabais mixte-416,Frigo longue durée-1,Événement tactique-Campagne Été F3-416,Allongeur - régulier-1,Étalage gros-1, Vitrine 1 période-1,Étalage régulier-4,Frigo longue durée-1,Événement tactique-Campagne Été F3-416,Allongeur - régulier-1,Étalage gros-1, LTO_2.00, Points_250.00",4634,4633,4634,1161690,1097986,2244.93,0.9397,109257,257594,132839,124829,0.14,4.87,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201602,20.9,20.9,"Étalage régulier-5,Dégustation - régulière-2,Frigo longue durée-1,Événement tactique-Campagne Été F3-416,Étalage gros-2,Allongeur - régulier-1,Vitrine 1 période-6, LTO_0.00, Points_0.00",3964,3964,3964,993016,993016,1521.1,0.6226,43719,220431,135851,84581,0.93,8.72,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201603,20.9,20.9,"Frigo 1 période-2,Dégustation - régulière-1,Étalage régulier-3,Frigo longue durée-1,Événement tactique-Campagne Été F3-416, LTO_0.00, Points_0.00",4490,4490,4490,1127129,1127129,2041.94,0.8341,39661,249670,136129,113542,1.86,12.92,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201604,20.9,20.9,"Frigo 1 période-174,Étalage mini-1,Étalage régulier-30,Étalage maxi-2,Étalage gros-4,Frigo longue durée-1, Points_3000.00",2221,5052,5052,1268060,1268060,991.33,0.806,32834,280934,68394,55123,0.68,7.58,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201605,21,18.15,"Étalage mini-2,Étalage régulier-7,Frigo 1 période-54,Frigo longue durée-1,Étalage gros-1, Étalage mini-2,Étalage régulier-7,Événement tactique-Forfait Produit à rabais -416,Frigo 1 période-54,Frigo longue durée-1,Étalage gros-1, LTO_4.30, Points_1500.00",6652,9262,9262,2331159,2016004,5297.69,3.9124,331387,515035,75292,294577,-0.11,3.48,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201606,20.8,20.8,"Dégustation - régulière-1,Étalage mini-51,Étalage gros-11,Étalage maxi-3,Étalage régulier-45,Frigo longue durée-1,Étalage méga-1, Dégustation - régulière-1,Étalage mini-51,Étalage gros-11,Étalage maxi-3,Étalage régulier-45,Étalage méga-1,Frigo longue durée-1, Dégustation - régulière-1,Étalage mini-51,Étalage maxi-3,Étalage gros-11,Étalage régulier-45,Étalage méga-1,Frigo longue durée-1, Points_0.00",1220,3999,3999,998956,998956,223.33,0.224,10248,222345,55443,12418,0.21,5.44,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201607,20.9,20.9,"Étalage mini-1,Dégustation - régulière-4,Frigo 1 période-77,Étalage régulier-7,Frigo longue durée-4,Étalage méga-1, Points_1500.00",935,4059,4059,1016968,1016968,251.67,0.3684,12653,225686,37983,13994,0.11,4.98,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201608,20.85,20.85,"Dégustation - régulière-1,Étalage gros-8,Étalage mini-42,Étalage maxi-3,Frigo 1 période-4,Allongeur - régulier-2,Frigo longue durée-4,Étalage régulier-39, Dégustation - régulière-1,Étalage mini-42,Étalage gros-8,Étalage maxi-3,Frigo 1 période-4,Allongeur - régulier-2,Frigo longue durée-4,Étalage régulier-39, Dégustation - régulière-1,Étalage mini-42,Étalage gros-8,Étalage maxi-3,Frigo 1 période-4,Frigo longue durée-4,Allongeur - régulier-2,Étalage régulier-39, Points_1500.00",946,3588,3588,898114,898114,188.15,0.2483,16813,199533,42136,10462,-0.38,2.8,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201609,20.55,17.4,"Frigo 1 période-1,Étalage régulier-2,Étalage mini-3,Étalage mini longue durée-2,Étalage régulier longue durée-3,Allongeur - régulier-1,Frigo longue durée-5,Étalage gros-1, Frigo 1 période-1,Étalage régulier-2,Étalage mini-3,Étalage mini longue durée-2,Étalage régulier longue durée-3,Encart-Forfait Produit à rabais -416,Allongeur - régulier-1,Frigo longue durée-5,Étalage gros-1, LTO_4.20, Points_0.00",8741,11418,11418,2814426,2382750,7711.13,7.4911,434318,634891,57238,428776,-0.01,3.71,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201610,20.5,20.5,"Frigo 1 période-2,Étalage régulier-4,Étalage mini longue durée-2,Étalage régulier longue durée-3,Allongeur - régulier-1,Frigo longue durée-5, Frigo 1 période-2,Étalage régulier-4,Étalage mini longue durée-2,Événement tactique-Standard plus 315 succursales à points bonis-416,Étalage régulier longue durée-3,Allongeur - régulier-1,Frigo longue durée-5, LTO_0.00, Points_2000.00",1580,7172,7172,1766213,1766213,584.28,0.5867,55433,398770,55376,32489,-0.41,2.6,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201611,20.3,20.3,"Dégustation - régulière-1,Frigo 1 période-1,Étalage mini-1,Étalage régulier-2,Frigo longue durée-3, Dégustation - régulière-1,Étalage mini-1,Frigo 1 période-1,Étalage régulier-2,Frigo longue durée-3, Frigo 1 période-1,Dégustation - régulière-1,Étalage mini-1,Étalage régulier-2,Frigo longue durée-3, Points_0.00",78,2925,2925,712461,712461,9.4,0.1367,516,162616,3824,523,0.01,4.43,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201612,19.9,19.9,"Étalage mini-1,Frigo 1 période-49,Étalage régulier-2,Frigo longue durée-3, Points_1500.00",580,3390,3390,810286,810286,140.68,0.3199,6918,188486,24452,7822,0.13,4.86,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201613,19.9,19.9,"Dégustation - régulière-1,Étalage régulier-1,Frigo longue durée-3,Frigo 1 période-98,Allongeur - régulier-1, Points_1500.00",1075,3915,3915,935348,935348,307.28,0.4003,13403,217711,42689,17086,0.27,5.48,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201701,19.85,18.5,"Frigo 1 période-1,Dégustation - régulière-1,Étalage régulier-2,Étalage mini-313,Frigo longue durée-1, Frigo 1 période-1,Dégustation - régulière-1,Étalage régulier-2,Événement tactique-Standard plus 315 succursales à rabais mixte-416,Étalage mini-313,Frigo longue durée-1, LTO_1.60, Points_500.00",6364,6756,6756,1610673,1501656,3710.83,1.3986,161902,61353,24093,33697,-0.79,5.09,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201702,20,20,"Étalage régulier-1,Frigo longue durée-1,Étalage mini-312,Vitrine 1 période-7,Dégustation - régulière-100, Étalage régulier-1,Événement tactique-Standard plus 315 succursales sans rabais-416,Frigo longue durée-1,Étalage mini-312,Vitrine 1 période-7,Dégustation - régulière-100, LTO_0.00, Points_0.00",4756,5170,5171,1239657,1239657,2077.38,0.7755,49672,46946,24326,18864,-0.62,10.03,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201703,20,20,"Frigo 1 période-2,Étalage régulier-1,Vitrine 1 période-1,Dégustation - régulière-2,Frigo longue durée-1,Étalage mini-312, Frigo 1 période-2,Étalage régulier-1,Vitrine 1 période-1,Dégustation - régulière-2,Événement tactique-Standard plus 315 succursales sans rabais-416,Frigo longue durée-1,Étalage mini-312, LTO_0.00, Points_0.00",4019,4497,4498,1080680,1080680,1616.74,0.6729,34215,40834,21818,14681,-0.57,11.36,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201704,19.95,19.95,"Étalage mini-2,Frigo 1 période-182,Étalage régulier-2,Étalage gros-2, Points_1000.00",2829,6007,6007,1438097,1438097,1500.07,1.1286,25399,54549,12070,13622,-0.46,14.14,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201705,19.95,19.95,"Étalage mini-1,Frigo 1 période-150,Étalage régulier-2,Étalage super-1,Étalage gros-1, Points_1000.00",2300,5863,5863,1403932,1403932,1078.73,0.8834,21690,53242,11088,9796,-0.55,11.91,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201706,19.95,19.95,"Étalage mini-50,Étalage maxi-1,Étalage régulier-27,Frigo 1 période-50,Étalage gros-2, Points_2000.00",1609,4938,4938,1182749,1182749,575.8,0.5573,20112,44841,9382,5229,-0.74,6.86,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201707,20.05,20.05,"Étalage mini-1,Frigo 1 période-101,Allongeur - régulier-1, Points_1000.00",1127,4199,4199,1010205,1010205,343.13,0.4377,11021,38133,7120,3116,-0.72,7.49,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201708,20,20,"Étalage mini-2,Étalage régulier-1,Frigo 1 période-76, Points_1000.00",850,4290,4290,1029414,1029414,292.76,0.5254,7674,38959,5059,2658,-0.65,9.15,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201709,20.25,17.5,"Étalage mini-2,Dégustation - régulière-1,Frigo 1 période-1,Étalage régulier-1,Étalage régulier longue durée-1,Étalage mini longue durée-1,Frigo longue durée-2,Encart-Forfait Produit à rabais -416, Étalage mini-2,Frigo 1 période-1,Dégustation - régulière-1,Étalage régulier-1,Étalage régulier longue durée-1,Étalage mini longue durée-1,Frigo longue durée-2, LTO_4.00, Points_0.00",7811,11376,11376,2762118,2391710,6760.94,6.4417,371538,103298,9531,61394,-0.83,3.83,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201710,20.2,20.2,"Dégustation - régulière-64,Frigo 1 période-1,Étalage mini-309,Étalage régulier longue durée-1,Étalage mini longue durée-1,Frigo longue durée-2,Allongeur - régulier-1, Dégustation - régulière-64,Frigo 1 période-1,Étalage mini-309,Étalage régulier longue durée-1,Étalage mini longue durée-1,Frigo longue durée-2,Circulaire-Standard plus 315 succursales sans rabais-416,Allongeur - régulier-1, Frigo 1 période-1,Dégustation - régulière-64,Étalage mini-309,Étalage régulier longue durée-1,Étalage mini longue durée-1,Frigo longue durée-2,Allongeur - régulier-1, LTO_0.00, Points_0.00",6469,8825,8825,2141869,2141869,1879.08,0.4094,37623,80136,41679,17063,-0.55,12.12,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201711,20.3,20.3,"Étalage mini-2,Dégustation - régulière-1,Étalage régulier-1,Frigo 1 période-104,Affichette - régulière-1, Points_2000.00",958,3494,3494,850492,850492,216.37,0.2917,8559,31726,6736,1965,-0.77,6.15,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201712,20.4,20.4,"Étalage gros-7,Étalage mini-43,Étalage régulier-13,Frigo 1 période-52,Affichette - régulière-1, Points_2000.00",878,3447,3447,844547,844547,188.02,0.2727,12975,31297,6262,1707,-0.87,3.55,
10327701,KIM CRAWFORD,KIM CRAWFORD SPOT SAUVIGNON BLANC 00750 ML,201713,20.2,20.2,"Étalage régulier-3,Vitrine 1 période-21,Frigo 1 période-3,Étalage mini-3,Étalage gros-1, Étalage régulier-3,Vitrine 1 période-21,Étalage mini-3,Frigo 1 période-3,Étalage gros-1, Étalage régulier-3,Étalage mini-3,Vitrine 1 période-21,Frigo 1 période-3,Étalage gros-1, Points_0.00",695,5515,5515,1337870,1337870,207.06,0.4241,15467,50081,4434,1880,-0.88,3.25,
